"In-Store Pickup","In-Store Pickup"
"ETechFlow In-Store Pickup Configuration","ETechFlow In-Store Pickup Configuration"
"License","License"
"Production Environment","Production Environment"
"License Key","License Key"
"General Settings","General Settings"
"Enable Module","Enable Module"
"Carrier Title at Checkout","Carrier Title at Checkout"
"Method Description","Method Description"
"Auto-fill Shipping Address from Picked Store","Auto-fill Shipping Address from Picked Store"
"Require Pickup Window Selection","Require Pickup Window Selection"
"Pickup Code Length","Pickup Code Length"
"eTechFlow Suite Integrations","eTechFlow Suite Integrations"
"Use NDE for Stock Eligibility","Use NDE for Stock Eligibility"
"Reuse DD Time Intervals as Pickup Windows","Reuse DD Time Intervals as Pickup Windows"
"Use BED ETA for Backorder Pickup Dates","Use BED ETA for Backorder Pickup Dates"
"Notifications","Notifications"
"Send ""Ready for Pickup"" Email","Send ""Ready for Pickup"" Email"
"Send Staff Notification on New Pickup Order","Send Staff Notification on New Pickup Order"
"Pick up in store","Pick up in store"
"Collect your order from one of our shops","Collect your order from one of our shops"
"Stores","Stores"
"Holidays","Holidays"
"Store Tags","Store Tags"
"Amenities","Amenities"
"Pickup Windows","Pickup Windows"
